id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness,speechiness,instrumentalness,popularity,release_decade,liveness,loudness_norm,explicit
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18,0.05,0.02,85,2020,0.09,0.72,0
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71,0.04,0.85,52,2020,0.07,0.28,0
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10,0.06,0.03,78,1990,0.14,0.88,1
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86,0.03,0.92,45,2020,0.06,0.25,0
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05,0.07,0.01,88,2020,0.11,0.80,0
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92,0.02,0.97,38,2010,0.05,0.22,0
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89,0.04,0.45,55,2000,0.18,0.35,0
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22,0.05,0.78,67,2010,0.08,0.70,0
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78,0.03,0.88,48,2020,0.06,0.27,0
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35,0.06,0.04,72,2010,0.12,0.68,0
11,Street Sermon,Kode Nine,hip-hop,confident,0.78,95,0.62,0.85,0.08,0.38,0.02,82,2010,0.16,0.76,1
12,Velvet Hours,Sable June,r&b,romantic,0.55,88,0.76,0.71,0.42,0.12,0.05,70,2010,0.10,0.58,0
13,Moonlight Sonata Reimagined,Clara Voss,classical,peaceful,0.22,58,0.73,0.32,0.95,0.02,0.98,42,1980,0.05,0.20,0
14,Iron Cathedral,Gravefront,metal,aggressive,0.97,168,0.23,0.51,0.06,0.08,0.12,65,1990,0.22,0.93,1
15,Dust & Denim,The Hollow Pine,country,nostalgic,0.48,104,0.69,0.63,0.82,0.09,0.06,58,2000,0.17,0.42,0
16,Neon Surge,Dropfield,edm,euphoric,0.95,140,0.72,0.92,0.04,0.05,0.64,90,2020,0.09,0.92,0
17,Autumn Letter,Wren Calloway,folk,melancholic,0.31,68,0.34,0.45,0.91,0.07,0.14,40,2010,0.13,0.30,0
18,Groove Cartridge,Funky Depot,funk,playful,0.80,112,0.87,0.89,0.38,0.11,0.18,74,1980,0.20,0.74,0
19,Blue Porch Night,Earl Voss,blues,sad,0.41,76,0.28,0.47,0.88,0.08,0.22,50,1970,0.35,0.38,0
20,Starfall Pop,LUMI,k-pop,energetic,0.87,128,0.83,0.91,0.15,0.10,0.03,92,2020,0.10,0.82,0
